Thématique_POI,Sous_thème_POI,Icone_représentation_visuelle
Commerce,Commerce,logo_commerce_service.jpg
Culture et social,Culture et social,logo_culture_social.jpg
Gastronomie,logo_terroir.jpg
Itinéraire touristique,Itinéraire touristique,logo_itineraire.jpg
Itinéraire touristique,Itinéraire cyclable,logo_velo.jpg
Itinéraire touristique,Itinéraire pédestre,logo_marche_à_pied.jpg
Itinéraire touristique,Itinéraire routier,logo_voiture.jpg
Loisir,Loisir,logo_loisir.jpg
Patrimoine,Patrimoine,logo_patrimoine.jpg
Restauration/Bar a theme,Restauration,logo_restauration.jpg
Restauration/Bar a theme,Restauration rapide,logo_restauration_rapide.jpg
Site naturel,Site naturel,logo_site_naturel.jpg
Sport,Sport,logo_sports.jpg